,Anho,Ciclo,Cod.Asign,Asignatura,Cod.Curso,Aprobado,1P,2P,RecursaConFirma,Taller,DerechoAFinal,Primer.Rec,Segundo.Rec,id_anony,Calificacion
303,2017,1,13008,CALCULO 2,2,True,24,12,True,0,True,0,0,es_5461,4.0
305,2017,1,13008,CALCULO 2,2,True,23,9,True,0,True,0,0,es_5468,2.0
306,2017,1,13008,CALCULO 2,2,True,21,30,True,0,True,0,0,es_5470,5.0
307,2017,1,13008,CALCULO 2,2,False,16,3,False,0,False,0,0,es_6225,0.0
308,2017,1,13008,CALCULO 2,2,False,13,9,True,0,True,0,0,es_6226,1.0
309,2017,1,13008,CALCULO 2,2,True,23,31,True,0,True,0,0,es_5474,5.0
310,2017,1,13008,CALCULO 2,2,True,19,11,True,0,True,0,0,es_5475,4.0
311,2017,1,13008,CALCULO 2,2,True,24,12,True,0,True,0,0,es_5476,3.0
312,2017,1,13008,CALCULO 2,2,True,23,15,True,0,True,0,0,es_6230,3.0
313,2017,1,13008,CALCULO 2,2,True,17,8,True,0,True,0,0,es_5479,2.0
314,2017,1,13008,CALCULO 2,2,True,0,0,True,0,True,0,0,es_6233,2.0
315,2017,1,13008,CALCULO 2,2,True,24,30,True,0,True,0,0,es_6237,5.0
316,2017,1,13008,CALCULO 2,2,False,10,5,False,0,False,0,0,es_5482,0.0
318,2017,1,13008,CALCULO 2,2,True,17,17,True,0,True,0,0,es_5487,3.0
319,2017,1,13008,CALCULO 2,2,True,18,9,True,0,True,0,0,es_4878,5.0
320,2017,1,13008,CALCULO 2,2,True,23,14,True,0,True,0,0,es_5490,3.0
321,2017,1,13008,CALCULO 2,2,True,20,7,True,0,True,0,0,es_5492,2.0
322,2017,1,13008,CALCULO 2,2,True,19,9,True,0,True,0,0,es_5496,4.0
323,2017,1,13008,CALCULO 2,2,True,21,16,True,0,True,0,0,es_5497,2.0
324,2017,1,13008,CALCULO 2,2,True,12,14,True,0,True,0,0,es_5498,3.0
325,2017,1,13008,CALCULO 2,2,False,16,0,False,0,False,0,0,es_5500,0.0
326,2017,1,13008,CALCULO 2,2,True,22,21,True,0,True,0,0,es_6260,5.0
