Anho,Ciclo,Cod.Asign,Asignatura,Aprobado,1P,2P,Taller,RecursaConFirma,DerechoAFinal,Primer.Rec,Segundo.Rec,id_anony,Calificacion
2017,1,13008,CALCULO 2,1,22,16,0,1,1,0,0,es_6281,5.0
2017,1,13008,CALCULO 2,1,22,9,0,1,1,0,0,es_6282,3.0
2017,1,13008,CALCULO 2,0,20,22,0,1,1,0,0,es_6283,0.0
2017,1,13008,CALCULO 2,1,21,24,0,1,1,0,0,es_6284,4.0
2017,1,13008,CALCULO 2,1,14,21,0,1,1,0,0,es_6285,4.0
2017,1,13008,CALCULO 2,1,17,25,0,1,1,0,0,es_6286,5.0
2017,1,13008,CALCULO 2,1,24,22,0,1,1,0,0,es_6290,5.0
2017,1,13008,CALCULO 2,1,19,13,0,1,1,0,0,es_5515,2.0
2017,1,13008,CALCULO 2,1,24,10,0,1,1,0,0,es_5516,3.0
2017,1,13008,CALCULO 2,1,19,7,0,1,1,0,0,es_6298,2.0
2017,1,13008,CALCULO 2,1,17,2,0,1,1,0,0,es_6299,4.0
2017,1,13008,CALCULO 2,0,18,4,0,1,1,0,0,es_5523,0.0
2017,1,13008,CALCULO 2,1,23,25,0,1,1,0,0,es_6303,5.0
2017,1,13008,CALCULO 2,0,19,4,0,1,1,0,0,es_5524,0.0
2017,1,13008,CALCULO 2,1,24,16,0,1,1,0,0,es_6306,4.0
2017,1,13008,CALCULO 2,0,16,2,0,0,0,0,0,es_6307,0.0
2017,1,13008,CALCULO 2,0,16,0,0,0,0,0,0,es_5526,0.0
2017,1,13008,CALCULO 2,1,22,26,0,1,1,0,0,es_5528,5.0
2017,1,13008,CALCULO 2,1,20,27,0,1,1,0,0,es_5532,5.0
2017,1,13008,CALCULO 2,1,15,28,0,1,1,0,0,es_5533,4.0
2017,1,13008,CALCULO 2,0,22,26,0,1,1,0,0,es_5536,0.0
2017,1,13008,CALCULO 2,0,0,0,0,1,1,0,0,es_4900,0.0
