1P,2P,Taller,Aprobado
7,16,3,0
12,12,7,0
6,13,4,0
8,15,6,0
15,14,7,0
14,12,3,0
11,10,2,0
5,12,6,0
12,13,5,0
11,13,3,0
14,12,4,0
8,16,5,0
8,12,4,0
10,16,4,0
3,12,5,0
14,14,6,0
7,19,2,0
8,15,5,0
14,17,7,1
9,12,4,0
18,24,9,1
7,11,2,0
15,0,4,0
9,12,3,0
16,13,6,0
11,9,3,0
6,11,5,0
18,25,9,1
4,16,7,0
15,15,4,0
17,17,4,0
11,13,2,0
12,24,6,1
17,22,5,1
6,9,4,0
17,14,7,1
12,12,4,0
15,11,3,0
15,27,9,1
14,18,8,0
20,12,7,0
7,16,2,0
8,11,3,0
10,11,2,0
8,12,2,0
9,15,5,0
19,27,6,1
15,15,3,0
2,17,3,0
10,13,2,0
10,8,3,0
13,29,6,1
11,14,6,0
14,10,2,0
12,14,4,0
7,15,8,0
10,12,2,0
10,14,5,0
16,10,2,0
14,12,4,0
8,15,5,0
12,12,2,0
7,12,2,0
12,9,3,0
7,13,3,0
13,12,1,0
4,11,3,0
15,15,5,0
6,9,4,0
10,14,2,0
9,13,5,0
13,11,7,0
14,8,6,0
12,10,3,0
10,14,5,0
18,14,4,0
14,13,5,0
5,22,6,0
11,16,7,0
6,13,7,0
11,10,2,0
18,17,7,1
7,14,6,0
10,12,6,0
10,5,3,0
0,15,3,0
3,12,2,0
2,13,4,0
11,14,5,0
4,11,4,0
17,12,6,0
13,15,7,0
9,15,6,0
8,14,4,0
5,11,6,0
9,6,3,0
4,21,6,0
1,14,6,0
13,13,5,0
7,10,4,0
10,7,7,0
7,10,3,0
7,23,9,0
10,12,4,0
13,20,9,0
5,20,7,0
5,14,4,0
7,8,7,0
5,14,5,0
6,17,3,0
22,17,5,1
13,9,5,0
9,27,7,0
7,32,7,1
2,19,5,0
3,14,7,0
4,14,6,0
9,7,2,0
7,9,5,0
20,32,8,1
19,32,9,1
4,25,7,0
4,11,3,0
4,11,6,0
10,25,8,1
10,36,8,1
10,19,6,1
20,30,8,1
5,17,5,0
11,32,8,1
8,8,4,0
10,33,7,1
10,24,7,1
9,20,6,0
7,11,5,0
23,28,9,1
6,23,6,0
13,23,4,1
20,21,4,1
7,12,5,0
12,23,6,0
14,19,8,1
17,32,10,1
10,21,8,1
10,20,6,0
8,17,6,0
7,15,5,0
5,33,6,1
13,14,5,0
6,14,6,0
14,29,6,1
7,8,7,0
8,31,9,1
8,16,3,0
7,27,5,1
10,19,8,1
15,10,4,0
7,21,4,0
13,23,8,1
5,10,5,0
9,20,8,1
5,21,6,0
18,32,8,1
5,29,7,0
14,18,6,0
10,21,4,0
11,10,2,0
7,8,3,0
6,12,3,0
13,16,6,0
18,30,8,1
11,22,4,0
5,14,5,0
19,36,7,1
1,14,6,0
13,10,2,0
12,17,6,0
4,13,4,0
10,12,2,0
11,18,2,0
6,10,7,0
6,12,4,0
4,20,8,0
8,16,6,0
5,14,8,0
13,17,5,0
11,17,3,0
4,11,7,0
7,17,6,0
